name,code,homepageUrl
TfL Rail ,XR ,https://tfl.gov.uk/modes/tfl-rail/
CrossCountry ,XC ,https://www.crosscountrytrains.co.uk/
West Coast Railways ,WR ,https://westcoastrailways.co.uk/
Avanti West Coast ,VT ,https://www.avantiwestcoast.co.uk/
Vintage Trains ,TY ,http://www.vintagetrains.co.uk/
Nexus (Tyne & Wear Metro) ,TW ,https://www.nexus.org.uk/
TransPennine Express ,TP ,https://www.tpexpress.co.uk/
Govia Thameslink Railway (Thameslink) ,TL ,https://www.thameslinkrailway.com/
South Western Railway ,SW ,https://www.southwesternrailway.com/
ScotRail ,SR ,https://www.scotrail.co.uk/
Swanage Railway ,SP ,https://www.swanagerailway.co.uk/
Southern ,SN ,https://www.southernrailway.com/
South Yorkshire Supertram ,SJ ,https://www.stagecoachbus.com/supertram
Southeastern ,SE ,https://www.southeasternrailway.co.uk/
North Yorkshire Moors Railway ,NY ,https://www.nymr.co.uk/
Northern ,NT ,https://www.northernrailway.co.uk/
Merseyrail ,ME ,https://www.merseyrail.org/
LUL Bakerloo Line ,LT ,https://tfl.gov.uk/modes/tube/
LUL District Line – Richmond ,LT ,https://tfl.gov.uk/modes/tube/
LUL District Line – Wimbledon ,LT ,https://tfl.gov.uk/modes/tube/
Locomotive Services ,LS ,http://locomotiveservices.co.uk/
Network Rail (On-Track Machines) ,LR ,https://www.networkrail.co.uk/
London Overground ,LO ,https://tfl.gov.uk/modes/london-overground/
Grand Central North West ,LN ,https://www.grandcentralrail.com/
West Midlands Trains ,LM ,https://www.westmidlandsrailway.co.uk/
Greater Anglia ,LE ,https://www.greateranglia.co.uk/
Island Lines ,IL ,https://www.southwesternrailway.com/destinations-and-offers/island-line
Heathrow Express ,HX ,https://www.heathrowexpress.com/
Hull Trains ,HT ,https://www.hulltrains.co.uk/
Heathrow Connect ,HC ,https://www.heathrowexpress.com/
Unmapped (was Gatwick Express) ,GX ,https://www.gatwickexpress.com/
Great Western Railway ,GW ,https://www.gwr.com/
London North Eastern Railway ,GR ,https://www.lner.co.uk/
Govia Thameslink Railway (Great Northern) ,GN ,https://www.thameslinkrailway.com/
Grand Central ,GC ,https://www.grandcentralrail.com/
Unmapped (was First Capital Connect) ,FC ,https://www.thameslinkrailway.com/
Eurostar ,ES ,https://www.eurostar.com/us-en
East Midlands Railway ,EM ,https://www.eastmidlandsrailway.co.uk/
Caledonian Sleeper ,CS ,https://www.sleeper.scot/
Chiltern Railway ,CH ,https://www.chilternrailways.co.uk/
c2c ,CC ,https://www.c2c-online.co.uk/
Transport for Wales ,AW ,https://tfwrail.wales/
Alliance Rail ,AR ,http://www.alliancerail.co.uk/
